Time,coal_MWh,hydro_MWh,natural_gas_MWh,nuclear_MWh,oil_MWh,other_MWh,solar_MWh,wind_MWh
20220309T00-08,286,1656,9340,2220,46,810,-1,2832
20220308T23-08,284,2064,10130,2220,44,825,-1,2489
20220308T22-08,284,2449,11162,2221,46,1034,7,1948
20220308T21-08,284,3083,11160,2220,46,1461,7,1974
20220308T20-08,285,3582,12200,2219,46,1488,11,2060
20220308T19-08,284,4138,12397,2221,46,1509,9,1943
20220308T18-08,286,3678,12345,2223,46,1489,98,1330
20220308T17-08,286,2197,9322,2224,46,1136,3958,1089
20220308T16-08,286,1224,7441,2222,46,673,9368,700
20220308T15-08,282,1015,6014,2221,46,656,11991,441
20220308T14-08,282,1103,5431,2222,46,655,12408,263
20220308T13-08,284,944,5270,2221,46,658,13350,294
20220308T12-08,284,1066,5297,2221,46,652,13431,417
20220308T11-08,283,1130,5199,2219,46,644,13533,551
20220308T10-08,284,1141,5550,2221,46,715,13882,561
20220308T09-08,284,1423,4964,2223,46,734,12934,533
20220308T08-08,283,1645,6697,2230,46,834,11193,540
20220308T07-08,283,2066,10137,2229,46,1114,4329,564
20220308T06-08,284,2469,11622,2229,46,1271,0,676
20220308T05-08,285,2517,10320,2232,46,836,0,731
20220308T04-08,284,2083,9174,2231,46,753,0,819
20220308T03-08,283,1850,9423,2231,46,733,0,888
20220308T02-08,283,1865,9136,2229,46,736,0,899
20220308T01-08,283,2069,9900,2231,46,746,0,912
20220308T00-08,284,2121,10614,2233,46,877,0,973
20220307T23-08,284,2220,10820,2230,46,864,0,787
20220307T22-08,283,2639,11797,2230,46,1066,8,852
20220307T21-08,283,3488,12680,2230,46,1193,8,871
20220307T20-08,285,3814,12651,2230,46,1461,8,936
20220307T19-08,285,4182,12811,2231,46,1525,11,979
20220307T18-08,284,3512,12351,2230,46,1476,177,1288
20220307T17-08,286,2128,8793,2232,46,1186,3758,1459
20220307T16-08,283,1256,6799,2233,46,658,8216,1770
20220307T15-08,284,969,5878,2255,46,997,10613,1894
20220307T14-08,284,995,5438,2254,46,669,11313,1869
20220307T13-08,286,955,5324,2257,46,652,11384,2160
20220307T12-08,284,1006,5327,2259,46,649,11791,2306
20220307T11-08,285,1050,5418,2257,46,643,11718,2694
20220307T10-08,282,994,5466,2258,46,647,13013,2683
20220307T09-08,282,1255,5251,2261,46,763,13102,2455
20220307T08-08,283,1688,6276,2261,46,846,10705,2056
20220307T07-08,283,2344,9317,2263,46,969,4006,1891
20220307T06-08,284,2718,10023,2262,46,1130,0,1908
20220307T05-08,282,2335,9101,2264,46,785,0,1539
20220307T04-08,272,2032,8436,2265,46,769,0,1363
20220307T03-08,220,2175,7709,2266,46,774,0,1794
20220307T02-08,285,2175,7862,2265,46,766,0,1809
20220307T01-08,284,2076,7650,2266,46,765,0,2252
20220307T00-08,285,2289,7842,2266,46,942,0,2310
20220306T23-08,284,2501,8310,2266,46,880,-6,2627
20220306T22-08,283,2579,9493,2264,46,927,-6,2922
20220306T21-08,282,2896,9969,2267,46,1681,-2,2825
20220306T20-08,283,3268,10027,2265,46,1551,44,2980
20220306T19-08,284,3681,9430,2266,46,1940,39,2988
20220306T18-08,284,3076,9057,2268,46,1684,80,3070
20220306T17-08,285,1934,6591,2270,46,916,3546,3213
20220306T16-08,282,1224,5215,2271,46,986,8068,3064
20220306T15-08,281,1204,3508,2272,46,980,8317,2847
