units,°F 
 
 label,year,min,average,max
Medium Emissions (RCP 4.5),2006,45.0392341614,47.7831230164,50.470161438
Medium Emissions (RCP 4.5),2007,45.6407356262,47.7677993774,49.5324783325
Medium Emissions (RCP 4.5),2008,44.6137313843,47.4683647156,49.6046562195
Medium Emissions (RCP 4.5),2009,46.0977096558,47.8866157532,49.9222717285
Medium Emissions (RCP 4.5),2010,46.5736923218,48.0169143677,49.7205619812
Medium Emissions (RCP 4.5),2011,46.138469696,48.1350708008,50.0482292175
Medium Emissions (RCP 4.5),2012,46.1537399292,48.2424621582,50.5207519531
Medium Emissions (RCP 4.5),2013,45.2578620911,48.2153778076,50.4445610046
Medium Emissions (RCP 4.5),2014,46.383026123,48.3905029297,50.7645950317
Medium Emissions (RCP 4.5),2015,46.7433242798,48.6551055908,50.9636077881
Medium Emissions (RCP 4.5),2016,45.8930358887,48.5729827881,51.0951690674
Medium Emissions (RCP 4.5),2017,46.6925125122,48.4252738953,51.1928405762
Medium Emissions (RCP 4.5),2018,46.3761062622,48.6621932983,51.9307937622
Medium Emissions (RCP 4.5),2019,45.6095352173,48.6770248413,51.1192855835
Medium Emissions (RCP 4.5),2020,47.1935958862,48.7341003418,51.5197372437
Medium Emissions (RCP 4.5),2021,46.1579170227,48.6077041626,52.5421829224
Medium Emissions (RCP 4.5),2022,46.5059089661,48.93201828,51.0031051636
Medium Emissions (RCP 4.5),2023,46.5953903198,48.7166290283,50.7826080322
Medium Emissions (RCP 4.5),2024,47.0062789917,48.7841949463,51.5379753113
Medium Emissions (RCP 4.5),2025,46.5298042297,48.8190231323,50.5319023132
Medium Emissions (RCP 4.5),2026,46.397693634,49.2195281982,52.5689849854
Medium Emissions (RCP 4.5),2027,46.0704650879,48.8376464844,51.4388237
Medium Emissions (RCP 4.5),2028,45.7710876465,48.9273490906,52.5536613464
Medium Emissions (RCP 4.5),2029,46.8381347656,49.3020935059,51.2487030029
Medium Emissions (RCP 4.5),2030,47.5567512512,49.1341094971,50.9735527039
Medium Emissions (RCP 4.5),2031,46.8191833496,48.9535522461,51.3788375854
Medium Emissions (RCP 4.5),2032,46.2700309753,49.2847900391,51.876411438
Medium Emissions (RCP 4.5),2033,46.4932174683,49.2305145264,52.0206069946
Medium Emissions (RCP 4.5),2034,46.5594100952,49.2410087585,51.461894989
Medium Emissions (RCP 4.5),2035,47.2999458313,49.3670768738,51.3956451416
Medium Emissions (RCP 4.5),2036,46.7761154175,49.3969573975,53.5472106934
Medium Emissions (RCP 4.5),2037,47.4282112122,49.6636505127,52.2436294556
Medium Emissions (RCP 4.5),2038,47.1934890747,49.5721893311,51.930519104
Medium Emissions (RCP 4.5),2039,47.0893363953,49.2723770142,52.0653762817
Medium Emissions (RCP 4.5),2040,47.2753372192,49.3530693054,52.0687789917
Medium Emissions (RCP 4.5),2041,46.465587616,49.6187210083,53.1975708008
Medium Emissions (RCP 4.5),2042,47.0114974976,49.7064437866,52.8069534302
Medium Emissions (RCP 4.5),2043,47.7395095825,49.8790397644,51.9070587158
Medium Emissions (RCP 4.5),2044,47.0706596375,49.8350944519,51.921672821
Medium Emissions (RCP 4.5),2045,46.8341255188,49.4804000854,51.9929199219
Medium Emissions (RCP 4.5),2046,46.7799072266,49.5435180664,53.603515625
Medium Emissions (RCP 4.5),2047,47.1719551086,49.9724807739,54.5464172363
Medium Emissions (RCP 4.5),2048,47.0808792114,50.0606994629,53.431137085
Medium Emissions (RCP 4.5),2049,48.2501525879,50.1765518188,53.2043266296
Medium Emissions (RCP 4.5),2050,47.4372177124,50.0659179688,53.0350265503
Medium Emissions (RCP 4.5),2051,48.0683822632,50.2477416992,51.6798629761
Medium Emissions (RCP 4.5),2052,47.7920761108,50.4090194702,54.4146347046
Medium Emissions (RCP 4.5),2053,48.2337799072,50.4379692078,52.6750030518
Medium Emissions (RCP 4.5),2054,47.7569198608,50.7126846313,53.63697052
Medium Emissions (RCP 4.5),2055,47.9670906067,50.3663406372,52.1388168335
Medium Emissions (RCP 4.5),2056,47.4909973145,50.1622123718,52.838973999
Medium Emissions (RCP 4.5),2057,47.2512741089,50.1389770508,52.6269950867
Medium Emissions (RCP 4.5),2058,47.0500602722,50.5559616089,53.0423355103
Medium Emissions (RCP 4.5),2059,46.9939193726,50.669506073,54.8798522949
Medium Emissions (RCP 4.5),2060,47.9091377258,50.4502716064,54.1263542175
Medium Emissions (RCP 4.5),2061,46.4186782837,50.5979309082,53.2956771851
Medium Emissions (RCP 4.5),2062,47.2979660034,50.7659111023,53.8297233582
Medium Emissions (RCP 4.5),2063,46.6187934875,50.5255279541,53.0479354858
Medium Emissions (RCP 4.5),2064,47.1787109375,50.5857925415,53.5168304443
Medium Emissions (RCP 4.5),2065,48.6876831055,50.6968612671,52.9080276489
Medium Emissions (RCP 4.5),2066,48.5803451538,51.0279922485,53.7532577515
Medium Emissions (RCP 4.5),2067,48.7648620605,51.0299682617,54.7796554565
Medium Emissions (RCP 4.5),2068,47.1904678345,50.5338249207,55.5328788757
Medium Emissions (RCP 4.5),2069,47.4966545105,50.8052444458,55.1411590576
Medium Emissions (RCP 4.5),2070,47.9303970337,50.6622009277,53.7911605835
Medium Emissions (RCP 4.5),2071,46.9081726074,50.5985870361,52.9678459167
Medium Emissions (RCP 4.5),2072,46.4435043335,50.7166366577,54.5937652588
Medium Emissions (RCP 4.5),2073,47.7654342651,50.6240234375,53.3444023132
Medium Emissions (RCP 4.5),2074,45.7803726196,50.7656364441,53.9776535034
Medium Emissions (RCP 4.5),2075,47.2627029419,50.8600082397,54.5361442566
Medium Emissions (RCP 4.5),2076,48.4536743164,51.2581558228,54.5742111206
Medium Emissions (RCP 4.5),2077,47.3915176392,51.1779556274,54.1637077332
Medium Emissions (RCP 4.5),2078,46.7083320618,51.3290176392,53.9213485718
Medium Emissions (RCP 4.5),2079,47.8707962036,51.1590576172,54.2626953125
Medium Emissions (RCP 4.5),2080,48.0158691406,50.9280700684,54.4212265015
Medium Emissions (RCP 4.5),2081,47.4328231812,51.2093200684,54.0724639893
Medium Emissions (RCP 4.5),2082,48.1965942383,51.2855644226,53.7236480713
Medium Emissions (RCP 4.5),2083,47.1409721375,51.0749588013,54.177772522
Medium Emissions (RCP 4.5),2084,48.4078598022,51.32006073,54.4024963379
Medium Emissions (RCP 4.5),2085,47.519947052,51.0484237671,53.5343551636
Medium Emissions (RCP 4.5),2086,47.7011642456,51.0014572144,54.028137207
Medium Emissions (RCP 4.5),2087,48.6123733521,51.1197280884,53.9468383789
Medium Emissions (RCP 4.5),2088,48.3734207153,51.4804611206,54.3115310669
Medium Emissions (RCP 4.5),2089,48.3638076782,51.3097343445,55.0205307007
Medium Emissions (RCP 4.5),2090,47.8284988403,51.2462310791,55.434551239
Medium Emissions (RCP 4.5),2091,48.6660385132,51.5212211609,54.7398300171
Medium Emissions (RCP 4.5),2092,48.4683952332,51.3713150024,54.3644828796
Medium Emissions (RCP 4.5),2093,47.7153930664,50.6386871338,52.7946472168
Medium Emissions (RCP 4.5),2094,48.1322135925,50.956741333,53.8622436523
Medium Emissions (RCP 4.5),2095,47.1008720398,51.0566101074,53.2230033875
Medium Emissions (RCP 4.5),2096,48.4244499207,51.1161575317,54.7185173035
Medium Emissions (RCP 4.5),2097,48.6650505066,51.5224304199,54.7353820801
Medium Emissions (RCP 4.5),2098,47.9639053345,51.5796127319,54.5694885254
Medium Emissions (RCP 4.5),2099,48.2426261902,51.3867492676,55.0516204834
High Emissions (RCP 8.5),2006,45.5666885376,47.8101501465,49.2071151733
High Emissions (RCP 8.5),2007,45.6364517212,47.7898254395,49.768409729
High Emissions (RCP 8.5),2008,46.2054328918,47.9283065796,50.3287658691
High Emissions (RCP 8.5),2009,45.9660949707,47.946105957,50.8583068848
