units,days 
 
 label,year,min,average,max
Medium Emissions (RCP 4.5),2006,1,10.53125,30
Medium Emissions (RCP 4.5),2007,0,7.0625,17
Medium Emissions (RCP 4.5),2008,1,8.59375,29
Medium Emissions (RCP 4.5),2009,2,10.28125,24
Medium Emissions (RCP 4.5),2010,0,8.96875,21
Medium Emissions (RCP 4.5),2011,1,10.34375,21
Medium Emissions (RCP 4.5),2012,1,12.78125,23
Medium Emissions (RCP 4.5),2013,0,10.65625,27
Medium Emissions (RCP 4.5),2014,0,10.0625,35
Medium Emissions (RCP 4.5),2015,1,10.28125,27
Medium Emissions (RCP 4.5),2016,1,13.46875,28
Medium Emissions (RCP 4.5),2017,1,10.5625,23
Medium Emissions (RCP 4.5),2018,2,10.9375,25
Medium Emissions (RCP 4.5),2019,0,13.09375,31
Medium Emissions (RCP 4.5),2020,1,11.8125,28
Medium Emissions (RCP 4.5),2021,1,12.46875,31
Medium Emissions (RCP 4.5),2022,1,15.03125,33
Medium Emissions (RCP 4.5),2023,4,13.78125,42
Medium Emissions (RCP 4.5),2024,4,14.4375,28
Medium Emissions (RCP 4.5),2025,3,15.3125,39
Medium Emissions (RCP 4.5),2026,3,16.53125,34
Medium Emissions (RCP 4.5),2027,1,14.6875,42
Medium Emissions (RCP 4.5),2028,4,16.375,44
Medium Emissions (RCP 4.5),2029,7,17.21875,48
Medium Emissions (RCP 4.5),2030,1,16,38
Medium Emissions (RCP 4.5),2031,0,15,40
Medium Emissions (RCP 4.5),2032,1,16.0625,39
Medium Emissions (RCP 4.5),2033,7,19.53125,53
Medium Emissions (RCP 4.5),2034,2,21.4375,52
Medium Emissions (RCP 4.5),2035,6,18.875,68
Medium Emissions (RCP 4.5),2036,1,18.5625,55
Medium Emissions (RCP 4.5),2037,4,22.8125,51
Medium Emissions (RCP 4.5),2038,7,20.03125,52
Medium Emissions (RCP 4.5),2039,4,20.125,47
Medium Emissions (RCP 4.5),2040,10,21.96875,63
Medium Emissions (RCP 4.5),2041,4,23.59375,69
Medium Emissions (RCP 4.5),2042,5,23.09375,48
Medium Emissions (RCP 4.5),2043,3,23.59375,56
Medium Emissions (RCP 4.5),2044,14,24.78125,44
Medium Emissions (RCP 4.5),2045,9,23.875,53
