units,°F ,,,
 ,,,,
 label,year,min,average,max
Medium Emissions (RCP 4.5),2006,61.80326843,64.10457611,66.08030701
Medium Emissions (RCP 4.5),2007,62.22843933,64.08892059,66.65532684
Medium Emissions (RCP 4.5),2008,61.52009583,63.97631073,65.67660522
Medium Emissions (RCP 4.5),2009,62.19482422,64.27464294,66.91460419
Medium Emissions (RCP 4.5),2010,61.88368988,64.17758179,65.77059937
Medium Emissions (RCP 4.5),2011,62.06710815,64.28277588,66.05030823
Medium Emissions (RCP 4.5),2012,63.3159256,64.57402039,65.96648407
Medium Emissions (RCP 4.5),2013,62.46453857,64.22707367,65.9591217
Medium Emissions (RCP 4.5),2014,62.23118591,64.29875946,66.12633514
Medium Emissions (RCP 4.5),2015,63.27835083,64.60752869,66.923172
Medium Emissions (RCP 4.5),2016,62.40268707,64.38879395,66.30618286
Medium Emissions (RCP 4.5),2017,62.42866516,64.35918427,66.13479614
Medium Emissions (RCP 4.5),2018,63.27835083,64.6109314,66.04130554
Medium Emissions (RCP 4.5),2019,63.41490936,64.83285522,67.01974487
Medium Emissions (RCP 4.5),2020,62.46475983,64.67323303,67.18118286
Medium Emissions (RCP 4.5),2021,62.82527161,64.66712952,66.74085999
Medium Emissions (RCP 4.5),2022,63.27313232,64.75463867,67.0627594
Medium Emissions (RCP 4.5),2023,62.54649353,64.74810028,67.17733765
Medium Emissions (RCP 4.5),2024,62.80242157,64.95431519,66.39390564
Medium Emissions (RCP 4.5),2025,62.22344208,64.6103363,66.82836151
Medium Emissions (RCP 4.5),2026,61.97542572,65.11828613,68.10025024
Medium Emissions (RCP 4.5),2027,62.47667694,64.88641357,66.61270142
Medium Emissions (RCP 4.5),2028,62.87690735,64.65548706,67.16339111
Medium Emissions (RCP 4.5),2029,63.22089386,65.21980286,67.03413391
Medium Emissions (RCP 4.5),2030,62.9256897,65.11449432,66.54524231
Medium Emissions (RCP 4.5),2031,63.68226242,65.01792908,66.7141571
Medium Emissions (RCP 4.5),2032,63.40161896,65.36723328,67.50187683
Medium Emissions (RCP 4.5),2033,62.78253937,65.16645813,66.97041321
Medium Emissions (RCP 4.5),2034,62.45118713,65.53823853,67.86190033
Medium Emissions (RCP 4.5),2035,63.02918243,65.25050354,67.29582977
Medium Emissions (RCP 4.5),2036,63.51356506,65.20666504,67.44320679
