units,°F 
 
 label,year,min,average,max
Medium Emissions (RCP 4.5),2006,72.5670700073,76.7988891602,79.3178405762
Medium Emissions (RCP 4.5),2007,73.600112915,76.5274810791,79.4363250732
Medium Emissions (RCP 4.5),2008,74.2635192871,76.6957321167,80.490020752
Medium Emissions (RCP 4.5),2009,74.6076202393,76.7214355469,78.2973175049
Medium Emissions (RCP 4.5),2010,73.9969406128,76.7363815308,79.2101745605
Medium Emissions (RCP 4.5),2011,73.7649688721,77.0313644409,79.4841766357
Medium Emissions (RCP 4.5),2012,75.3998947144,77.4703826904,79.9551544189
Medium Emissions (RCP 4.5),2013,74.3724517822,76.6258544922,79.4824676514
Medium Emissions (RCP 4.5),2014,74.263961792,76.5249481201,79.0096130371
Medium Emissions (RCP 4.5),2015,74.9837341309,77.1641387939,81.0644989014
Medium Emissions (RCP 4.5),2016,74.1543731689,76.9499053955,79.6066131592
Medium Emissions (RCP 4.5),2017,74.7060546875,77.1131591797,80.5050201416
Medium Emissions (RCP 4.5),2018,73.5562286377,77.1259002686,79.2566986084
Medium Emissions (RCP 4.5),2019,75.5266265869,77.6939544678,80.1932830811
Medium Emissions (RCP 4.5),2020,74.518081665,77.3598022461,81.8564453125
Medium Emissions (RCP 4.5),2021,73.4993133545,77.338432312,80.6037902832
Medium Emissions (RCP 4.5),2022,75.1282577515,77.5885314941,81.6741333008
Medium Emissions (RCP 4.5),2023,74.7395629883,77.4225311279,81.2108917236
Medium Emissions (RCP 4.5),2024,74.609703064,77.8163909912,80.6878356934
Medium Emissions (RCP 4.5),2025,74.3310394287,77.1847381592,80.0140991211
Medium Emissions (RCP 4.5),2026,74.6027832031,78.1760864258,81.3536605835
Medium Emissions (RCP 4.5),2027,74.6021270752,77.5536499023,80.9339294434
Medium Emissions (RCP 4.5),2028,75.1653900146,77.412979126,80.1348419189
Medium Emissions (RCP 4.5),2029,76.2375488281,77.862701416,80.6611938477
Medium Emissions (RCP 4.5),2030,75.6690597534,77.8101806641,80.4303741455
Medium Emissions (RCP 4.5),2031,75.756729126,77.7358093262,80.2504119873
Medium Emissions (RCP 4.5),2032,76.1254272461,78.0988006592,80.5256195068
Medium Emissions (RCP 4.5),2033,75.2152099609,78.1213684082,81.3251495361
Medium Emissions (RCP 4.5),2034,74.8479919434,78.4624938965,80.9048156738
Medium Emissions (RCP 4.5),2035,75.073928833,78.2712249756,80.8563079834
Medium Emissions (RCP 4.5),2036,75.1653366089,78.0786895752,80.1951522827
Medium Emissions (RCP 4.5),2037,75.4953155518,78.3460998535,81.7598800659
Medium Emissions (RCP 4.5),2038,75.3243637085,78.4377746582,81.4084320068
Medium Emissions (RCP 4.5),2039,75.8747787476,78.5389633179,81.9501647949
Medium Emissions (RCP 4.5),2040,75.1865997314,78.2738647461,81.3174057007
Medium Emissions (RCP 4.5),2041,75.7968902588,78.8496017456,82.1340179443
Medium Emissions (RCP 4.5),2042,76.8740386963,78.9773178101,82.2774963379
Medium Emissions (RCP 4.5),2043,75.7255249023,79.0216522217,81.5052185059
Medium Emissions (RCP 4.5),2044,75.9171905518,78.6893157959,81.0389022827
Medium Emissions (RCP 4.5),2045,76.455078125,79.2255554199,83.8905181885
Medium Emissions (RCP 4.5),2046,75.6700439453,79.0784454346,83.0803222656
Medium Emissions (RCP 4.5),2047,75.6630706787,79.1260681152,81.5774536133
Medium Emissions (RCP 4.5),2048,76.1167526245,78.960723877,82.1584625244
Medium Emissions (RCP 4.5),2049,75.8975753784,78.9106292725,81.2521514893
Medium Emissions (RCP 4.5),2050,75.2344360352,79.2389526367,82.1587371826
Medium Emissions (RCP 4.5),2051,76.6725006104,79.3165740967,81.9852142334
Medium Emissions (RCP 4.5),2052,76.5484619141,79.4051818848,83.1444854736
Medium Emissions (RCP 4.5),2053,76.4795227051,79.3779907227,82.1969146729
Medium Emissions (RCP 4.5),2054,75.576385498,79.631942749,83.0418701172
Medium Emissions (RCP 4.5),2055,76.9800033569,79.5140533447,83.05418396
Medium Emissions (RCP 4.5),2056,75.4488372803,79.4558868408,83.2445220947
Medium Emissions (RCP 4.5),2057,76.0690765381,79.5614624023,83.0724182129
Medium Emissions (RCP 4.5),2058,76.9836273193,80.0259628296,84.3454589844
Medium Emissions (RCP 4.5),2059,76.8159790039,80.2826080322,83.6315612793
Medium Emissions (RCP 4.5),2060,75.9719543457,79.3681030273,82.4568023682
Medium Emissions (RCP 4.5),2061,76.4756774902,79.6665496826,85.0363922119
Medium Emissions (RCP 4.5),2062,76.3694915771,79.8486938477,84.0457000732
Medium Emissions (RCP 4.5),2063,76.9843444824,79.6675338745,82.4861907959
Medium Emissions (RCP 4.5),2064,75.5486450195,79.4439620972,83.8306884766
Medium Emissions (RCP 4.5),2065,77.3940734863,79.8795166016,83.5768585205
Medium Emissions (RCP 4.5),2066,76.7024841309,80.0716705322,82.7788085938
Medium Emissions (RCP 4.5),2067,75.2100524902,79.5768432617,82.7286529541
Medium Emissions (RCP 4.5),2068,76.2516098022,79.6340255737,82.9911727905
Medium Emissions (RCP 4.5),2069,76.4794616699,80.0858383179,82.4910202026
Medium Emissions (RCP 4.5),2070,76.9686279297,79.531463623,81.974822998
Medium Emissions (RCP 4.5),2071,77.5305786133,80.0423278809,83.2131500244
Medium Emissions (RCP 4.5),2072,74.7273101807,80.4906311035,83.3259811401
Medium Emissions (RCP 4.5),2073,77.5106430054,79.9655914307,83.1275634766
Medium Emissions (RCP 4.5),2074,76.9859924316,80.1854248047,84.6825714111
Medium Emissions (RCP 4.5),2075,77.3409576416,80.4051055908,85.3735046387
Medium Emissions (RCP 4.5),2076,77.010925293,80.4326171875,83.5900421143
Medium Emissions (RCP 4.5),2077,77.2026977539,79.9947662354,82.6276855469
Medium Emissions (RCP 4.5),2078,76.1791534424,80.2466278076,83.4945068359
Medium Emissions (RCP 4.5),2079,75.8801574707,80.3274841309,84.3962097168
Medium Emissions (RCP 4.5),2080,76.8050460815,79.8966522217,82.7265167236
Medium Emissions (RCP 4.5),2081,76.8636016846,80.1351165771,83.3806915283
Medium Emissions (RCP 4.5),2082,77.0431747437,80.2778244019,84.2011566162
Medium Emissions (RCP 4.5),2083,77.2591705322,80.2689208984,84.5340423584
Medium Emissions (RCP 4.5),2084,76.6353607178,80.0461730957,85.1790466309
Medium Emissions (RCP 4.5),2085,77.7744750977,80.3420944214,84.037399292
Medium Emissions (RCP 4.5),2086,77.0441131592,80.351272583,83.5105514526
Medium Emissions (RCP 4.5),2087,76.510887146,80.2499237061,84.1564331055
