Time,coal_MWh,hydro_MWh,natural_gas_MWh,nuclear_MWh,oil_MWh,other_MWh,solar_MWh,wind_MWh
2019-12-30 23:00:00-08:00,1042,301,12230,2272,90,701,7,990
2019-12-30 22:00:00-08:00,1387,497,12494,2273,91,706,7,930
2019-12-30 21:00:00-08:00,1493,723,12864,2272,91,733,7,753
2019-12-30 20:00:00-08:00,1475,816,13280,2272,46,731,7,615
2019-12-30 19:00:00-08:00,1469,865,13550,2273,90,736,7,556
2019-12-30 18:00:00-08:00,1649,874,13702,2273,91,738,7,660
2019-12-30 17:00:00-08:00,1277,401,13419,2273,90,727,1177,609
2019-12-30 16:00:00-08:00,938,347,11850,2275,92,696,1526,532
2019-12-30 15:00:00-08:00,671,339,9912,2275,91,697,4782,531
2019-12-30 14:00:00-08:00,658,328,9958,2276,91,697,5652,449
2019-12-30 13:00:00-08:00,662,326,9730,2274,91,696,6167,467
2019-12-30 12:00:00-08:00,663,358,9684,2276,80,678,6672,531
2019-12-30 11:00:00-08:00,661,401,10120,2275,48,688,5826,559
2019-12-30 10:00:00-08:00,804,373,11289,2275,46,696,3852,476
2019-12-30 09:00:00-08:00,886,343,11975,2275,83,699,2198,468
2019-12-30 08:00:00-08:00,1129,444,12115,2274,85,704,946,469
2019-12-30 07:00:00-08:00,999,413,11660,2273,90,708,21,457
2019-12-30 06:00:00-08:00,682,276,10641,2276,90,707,5,575
2019-12-30 05:00:00-08:00,659,263,9861,2274,90,707,4,789
2019-12-30 04:00:00-08:00,656,253,9256,2273,90,707,4,847
2019-12-30 03:00:00-08:00,655,247,10010,2274,90,710,4,860
2019-12-30 02:00:00-08:00,659,249,10512,2275,90,703,4,562
2019-12-30 01:00:00-08:00,661,249,10795,2273,91,705,5,512
2019-12-30 00:00:00-08:00,792,226,11194,2274,46,702,5,420
2019-12-29 23:00:00-08:00,952,296,11975,2273,90,705,6,415
2019-12-29 22:00:00-08:00,1253,503,12375,2273,90,734,6,529
2019-12-29 21:00:00-08:00,1393,855,12489,2273,90,735,6,562
2019-12-29 20:00:00-08:00,1360,893,12355,2272,91,738,6,411
2019-12-29 19:00:00-08:00,1467,855,12467,2272,90,736,6,148
2019-12-29 18:00:00-08:00,1522,824,12536,2273,90,737,6,58
2019-12-29 17:00:00-08:00,1412,500,12261,2273,91,739,429,193
2019-12-29 16:00:00-08:00,1043,418,10536,2272,90,735,615,244
2019-12-29 15:00:00-08:00,723,361,9422,2275,46,712,3583,86
2019-12-29 14:00:00-08:00,715,387,8307,2273,91,700,5406,81
2019-12-29 13:00:00-08:00,662,378,7808,2274,91,681,5806,66
2019-12-29 12:00:00-08:00,678,395,8041,2276,90,695,7148,27
2019-12-29 11:00:00-08:00,665,356,7563,2275,90,681,5881,112
2019-12-29 10:00:00-08:00,744,341,7885,2274,91,697,6084,117
2019-12-29 09:00:00-08:00,676,317,8570,2276,91,698,4550,127
2019-12-29 08:00:00-08:00,713,362,9731,2276,90,701,2621,202
2019-12-29 07:00:00-08:00,1017,345,10537,2272,91,705,208,235
2019-12-29 06:00:00-08:00,894,255,10312,2272,90,701,4,226
2019-12-29 05:00:00-08:00,722,244,10242,2273,90,700,4,93
2019-12-29 04:00:00-08:00,662,235,10476,2272,90,702,4,145
2019-12-29 03:00:00-08:00,661,239,10474,2273,90,705,4,169
2019-12-29 02:00:00-08:00,661,246,10480,2274,90,710,4,217
2019-12-29 01:00:00-08:00,666,320,10705,2272,90,710,4,225
2019-12-29 00:00:00-08:00,839,384,11640,2271,90,709,5,195
2019-12-28 23:00:00-08:00,972,423,11680,2272,90,718,5,194
2019-12-28 22:00:00-08:00,1240,568,11925,2274,91,739,5,144
2019-12-28 21:00:00-08:00,1384,833,12088,2274,91,712,5,303
2019-12-28 20:00:00-08:00,1509,929,12148,2272,90,733,5,230
2019-12-28 19:00:00-08:00,1709,884,11838,2271,91,707,5,207
2019-12-28 18:00:00-08:00,1723,777,11863,2271,91,737,5,190
2019-12-28 17:00:00-08:00,1466,511,11234,2270,91,709,1605,200
2019-12-28 16:00:00-08:00,830,340,8639,2270,90,731,2032,332
2019-12-28 15:00:00-08:00,657,314,6290,2273,90,701,6350,496
2019-12-28 14:00:00-08:00,659,302,5563,2273,91,698,7825,493
2019-12-28 13:00:00-08:00,661,414,5434,2271,90,696,8628,530
2019-12-28 12:00:00-08:00,660,439,5417,2272,91,694,8149,552
2019-12-28 11:00:00-08:00,661,366,5882,2273,91,691,8450,428
