,attributes.PlantName,attributes.Pumped_Storage,attributes.Pumping_Generating,attributes.Capacity_Latest,attributes.PriEnergySource,attributes.Lon_WGS84,attributes.Lat_WGS84,2019_weather
0,Vaca Dixon Battery Storage,0,0,2.4,BAT,-121.921634992065,38.4000984897882,"                           temp
time                           
2019-01-01 00:00:00+00:00  11.0
2019-01-01 01:00:00+00:00  10.6
2019-01-01 02:00:00+00:00  10.0
2019-01-01 03:00:00+00:00  10.0
2019-01-01 04:00:00+00:00   8.9
...                         ...
2019-12-31 19:00:00+00:00  14.4
2019-12-31 20:00:00+00:00  15.0
2019-12-31 21:00:00+00:00  16.7
2019-12-31 22:00:00+00:00  16.1
2019-12-31 23:00:00+00:00  15.0

[8760 rows x 1 columns]"
1,AltaGas Pomona Energy Storage,0,0,20.0,BAT,-117.735476341147,34.0942840804201,"                           temp
time                           
2019-01-01 01:00:00+00:00  12.0
2019-01-01 02:00:00+00:00  11.0
2019-01-01 03:00:00+00:00  11.0
2019-01-01 04:00:00+00:00  11.0
2019-01-01 05:00:00+00:00  10.0
...                         ...
2019-12-31 19:00:00+00:00  17.0
2019-12-31 20:00:00+00:00  18.0
2019-12-31 21:00:00+00:00  18.0
2019-12-31 22:00:00+00:00  19.0
2019-12-31 23:00:00+00:00  19.0

[8759 rows x 1 columns]"
2,Escondido Energy Storage,0,0,30.0,BAT,-117.11502748796,33.1244133133928,"                           temp
time                           
2019-01-01 01:00:00+00:00  12.2
2019-01-01 02:00:00+00:00  10.6
2019-01-01 03:00:00+00:00  10.0
2019-01-01 04:00:00+00:00   9.4
2019-01-01 05:00:00+00:00   9.4
...                         ...
2019-12-31 19:00:00+00:00  17.8
2019-12-31 20:00:00+00:00  20.6
2019-12-31 21:00:00+00:00  18.9
2019-12-31 22:00:00+00:00  18.9
2019-12-31 23:00:00+00:00  18.9

[8759 rows x 1 columns]"
3,El Centro Generating Station BESS,0,0,29.7,BAT,-115.539948951843,32.8028048861915,"                           temp
time                           
2019-01-01 00:00:00+00:00   9.0
2019-01-01 01:00:00+00:00  10.0
2019-01-01 02:00:00+00:00   8.3
2019-01-01 03:00:00+00:00   8.3
2019-01-01 04:00:00+00:00   8.9
...                         ...
2019-12-31 19:00:00+00:00  17.8
2019-12-31 20:00:00+00:00  18.3
2019-12-31 21:00:00+00:00  19.4
2019-12-31 22:00:00+00:00  20.0
2019-12-31 23:00:00+00:00  20.0

[8760 rows x 1 columns]"
4,Eastern BESS 1,0,0,7.5,BAT,-116.974214689696,32.7951706066298,"                           temp
time                           
2019-01-01 00:00:00+00:00  15.0
2019-01-01 01:00:00+00:00  15.0
2019-01-01 02:00:00+00:00  12.2
2019-01-01 03:00:00+00:00  11.7
2019-01-01 04:00:00+00:00  10.0
...                         ...
2019-12-31 19:00:00+00:00  22.2
2019-12-31 20:00:00+00:00  21.0
2019-12-31 21:00:00+00:00  22.8
2019-12-31 22:00:00+00:00  21.0
2019-12-31 23:00:00+00:00  21.1

[8760 rows x 1 columns]"
5,Riverside RWQCP Fuel Cell,0,0,1.4,OBG,-117.453362431209,33.9625162899935,"                           temp
time                           
2019-01-01 01:00:00+00:00  11.7
2019-01-01 02:00:00+00:00  11.1
2019-01-01 03:00:00+00:00  10.0
2019-01-01 04:00:00+00:00  10.0
2019-01-01 05:00:00+00:00  10.0
...                         ...
2019-12-31 19:00:00+00:00  17.8
2019-12-31 20:00:00+00:00  18.3
2019-12-31 21:00:00+00:00  18.9
2019-12-31 22:00:00+00:00  18.9
2019-12-31 23:00:00+00:00  19.4

[8759 rows x 1 columns]"
6,Santa Rita Jail Fuel Cell,0,0,1.4,NG,-121.887965202765,37.7176658649873,"                           temp
time                           
2019-01-01 00:00:00+00:00  13.0
2019-01-01 01:00:00+00:00  10.6
2019-01-01 02:00:00+00:00  10.0
2019-01-01 03:00:00+00:00  10.0
2019-01-01 04:00:00+00:00  10.0
...                         ...
2019-12-31 19:00:00+00:00  15.0
2019-12-31 20:00:00+00:00  16.7
2019-12-31 21:00:00+00:00  17.2
2019-12-31 22:00:00+00:00  17.2
2019-12-31 23:00:00+00:00  16.1

[8760 rows x 1 columns]"
7,UCI Fuel Cell,0,0,1.4,NG,-117.887163298028,33.7868500103188,"                           temp
time                           
2019-01-01 00:00:00+00:00  16.1
2019-01-01 01:00:00+00:00  16.1
2019-01-01 02:00:00+00:00  15.0
2019-01-01 03:00:00+00:00  13.3
2019-01-01 04:00:00+00:00  13.9
...                         ...
2019-12-31 19:00:00+00:00  20.6
2019-12-31 20:00:00+00:00  21.7
2019-12-31 21:00:00+00:00  22.2
2019-12-31 22:00:00+00:00  22.8
2019-12-31 23:00:00+00:00  23.3

[8760 rows x 1 columns]"
8,Glendale Battery Energy Storage (G2BESS),0,0,2.0,BAT,-118.283477406058,34.1622675411353,"                           temp
time                           
2019-01-01 00:00:00+00:00  13.0
2019-01-01 01:00:00+00:00  13.3
2019-01-01 02:00:00+00:00  12.8
2019-01-01 03:00:00+00:00  12.8
2019-01-01 04:00:00+00:00  12.2
...                         ...
2019-12-31 19:00:00+00:00  19.4
2019-12-31 20:00:00+00:00  20.0
2019-12-31 21:00:00+00:00  20.6
2019-12-31 22:00:00+00:00  21.1
2019-12-31 23:00:00+00:00  21.7

[8760 rows x 1 columns]"
9,Los Angeles Refinery - Calciner,0,0,35.8,PC,-118.228148591165,33.7759513877057,"                           temp
time                           
2019-01-01 00:00:00+00:00  16.1
2019-01-01 01:00:00+00:00  16.1
2019-01-01 02:00:00+00:00  15.6
2019-01-01 03:00:00+00:00  14.4
2019-01-01 04:00:00+00:00  13.9
...                         ...
2019-12-31 19:00:00+00:00  19.4
2019-12-31 20:00:00+00:00  20.0
2019-12-31 21:00:00+00:00  21.1
2019-12-31 22:00:00+00:00  21.7
2019-12-31 23:00:00+00:00  22.2

[8760 rows x 1 columns]"
10,Argus Cogen Plant,0,0,62.5,"NG, BIT",-117.383755220964,35.7655673872284,"                           temp
time                           
2019-01-01 00:00:00+00:00   8.0
2019-01-01 01:00:00+00:00   8.3
2019-01-01 02:00:00+00:00   6.7
2019-01-01 03:00:00+00:00   5.6
2019-01-01 04:00:00+00:00   5.0
...                         ...
2019-12-31 19:00:00+00:00  12.8
2019-12-31 20:00:00+00:00  13.3
2019-12-31 21:00:00+00:00  13.9
2019-12-31 22:00:00+00:00  14.4
2019-12-31 23:00:00+00:00  14.4

[8760 rows x 1 columns]"
11,Intermountain Power Project (UT),0,0,1800.0,BIT,-112.57991022231,39.5099518808451,"                           temp
time                           
2019-01-01 00:00:00+00:00  -6.0
2019-01-01 01:00:00+00:00  -6.0
2019-01-01 02:00:00+00:00  -7.0
2019-01-01 03:00:00+00:00  -9.0
2019-01-01 04:00:00+00:00 -11.0
...                         ...
2019-12-31 19:00:00+00:00  -2.0
2019-12-31 20:00:00+00:00  -2.0
2019-12-31 21:00:00+00:00   0.0
2019-12-31 22:00:00+00:00   0.0
2019-12-31 23:00:00+00:00  -1.0

[8760 rows x 1 columns]"
