,coal_MWh,hydro_MWh,natural_gas_MWh,nuclear_MWh,oil_MWh,other_MWh,solar_MWh,wind_MWh,weighedTemp_ng,capUnc_ng
2019-12-30 23:00:00-08:00,1042,301,12230,2272,90,701,7,990,10.721792751346785,0.03724807547090528
2019-12-30 22:00:00-08:00,1387,497,12494,2273,91,706,7,930,10.369013415070857,0.024446790260958102
2019-12-30 21:00:00-08:00,1493,723,12864,2272,91,733,7,753,10.466163029437068,0.0373946550725459
2019-12-30 20:00:00-08:00,1475,816,13280,2272,46,731,7,615,10.4232910181282,0.0373946550725459
2019-12-30 19:00:00-08:00,1469,865,13550,2273,90,736,7,556,11.147270948437544,0.0373946550725459
2019-12-30 18:00:00-08:00,1649,874,13702,2273,91,738,7,660,11.80734231410538,0.0373946550725459
2019-12-30 17:00:00-08:00,1277,401,13419,2273,90,727,1177,609,13.072132920786485,0.027256232625736586
2019-12-30 16:00:00-08:00,938,347,11850,2275,92,696,1526,532,14.569867715857068,0.024532295028581796
2019-12-30 15:00:00-08:00,671,339,9912,2275,91,697,4782,531,14.90564167303159,0.03724807547090528
2019-12-30 14:00:00-08:00,658,328,9958,2276,91,697,5652,449,14.751466472368909,0.024300210659317485
2019-12-30 13:00:00-08:00,662,326,9730,2274,91,696,6167,467,14.27032772639967,0.024446790260958102
2019-12-30 12:00:00-08:00,663,358,9684,2276,80,678,6672,531,13.511445010873235,0.03724807547090528
2019-12-30 11:00:00-08:00,661,401,10120,2275,48,688,5826,559,12.282844108596425,0.024300210659317485
2019-12-30 10:00:00-08:00,804,373,11289,2275,46,696,3852,476,11.331437402819823,0.024300210659317485
2019-12-30 09:00:00-08:00,886,343,11975,2275,83,699,2198,468,9.987329142419174,0.0373946550725459
2019-12-30 08:00:00-08:00,1129,444,12115,2274,85,704,946,469,8.166181998913334,0.024300210659317485
2019-12-30 07:00:00-08:00,999,413,11660,2273,90,708,21,457,7.695396179071287,0.024446790260958102
2019-12-30 06:00:00-08:00,682,276,10641,2276,90,707,5,575,8.070989990659285,0.024446790260958102
2019-12-30 05:00:00-08:00,659,263,9861,2274,90,707,4,789,8.328412617336069,0.024300210659317485
2019-12-30 04:00:00-08:00,656,253,9256,2273,90,707,4,847,8.408030688655044,0.03724807547090528
2019-12-30 03:00:00-08:00,655,247,10010,2274,90,710,4,860,8.595583297591283,0.0373946550725459
2019-12-30 02:00:00-08:00,659,249,10512,2275,90,703,4,562,8.691504846114608,0.0373946550725459
2019-12-30 01:00:00-08:00,661,249,10795,2273,91,705,5,512,8.900138366152573,0.0373946550725459
2019-12-30 00:00:00-08:00,792,226,11194,2274,46,702,5,420,8.858728919591805,0.0373946550725459
2019-12-29 23:00:00-08:00,952,296,11975,2273,90,705,6,415,9.155593931380338,0.0373946550725459
2019-12-29 22:00:00-08:00,1253,503,12375,2273,90,734,6,529,9.063885139850822,0.0373946550725459
2019-12-29 21:00:00-08:00,1393,855,12489,2273,90,735,6,562,9.265167369098508,0.024446790260958102
2019-12-29 20:00:00-08:00,1360,893,12355,2272,91,738,6,411,9.600667771497893,0.0373946550725459
2019-12-29 19:00:00-08:00,1467,855,12467,2272,90,736,6,148,9.981638030987137,0.024446790260958102
2019-12-29 18:00:00-08:00,1522,824,12536,2273,90,737,6,58,10.730169556908537,0.0373946550725459
2019-12-29 17:00:00-08:00,1412,500,12261,2273,91,739,429,193,11.377719112406625,0.024446790260958102
2019-12-29 16:00:00-08:00,1043,418,10536,2272,90,735,615,244,12.421624362133237,0.03724807547090528
2019-12-29 15:00:00-08:00,723,361,9422,2275,46,712,3583,86,13.364252842646422,0.03724807547090528
2019-12-29 14:00:00-08:00,715,387,8307,2273,91,700,5406,81,13.423653674255798,0.024300210659317485
2019-12-29 13:00:00-08:00,662,378,7808,2274,91,681,5806,66,13.386288512144864,0.024300210659317485
2019-12-29 12:00:00-08:00,678,395,8041,2276,90,695,7148,27,12.907217873210737,0.03724807547090528
2019-12-29 11:00:00-08:00,665,356,7563,2275,90,681,5881,112,11.892049242933668,0.03724807547090528
2019-12-29 10:00:00-08:00,744,341,7885,2274,91,697,6084,117,10.344874945854523,0.024300210659317485
2019-12-29 09:00:00-08:00,676,317,8570,2276,91,698,4550,127,8.36568135667911,0.024300210659317485
2019-12-29 08:00:00-08:00,713,362,9731,2276,90,701,2621,202,6.407932360113376,0.03724807547090528
2019-12-29 07:00:00-08:00,1017,345,10537,2272,91,705,208,235,5.245725537761967,0.03724807547090528
